"AttributeName","Consistency","ValueIDS","RecordIDS","Values","FusedValue","IsCorrect","CorrectValue"
"Company name","1.0","Company name-{DBPedia_4686+Forbes_352}","DBPedia_4686+Forbes_352","{Standard Chartered|Standard Chartered}","Standard Chartered",,
"Company name","0.0","Company name-{DBPedia_1097+SBTI_4031}","DBPedia_1097+SBTI_4031","{OneTaste|OneTrust}","OneTaste",,
"Company name","1.0","Company name-{DBPedia_4038+SBTI_3917}","DBPedia_4038+SBTI_3917","{Nortura|Nortura}","Nortura",,
"Company name","0.0","Company name-{Forbes_1698+SBTI_4232}","Forbes_1698+SBTI_4232","{Piraeus Financial Holdings|Piraeus Financial Holdings S.A.}","Piraeus Financial Holdings",,
"Company name","1.0","Company name-{DBPedia_5731+SBTI_5959}","DBPedia_5731+SBTI_5959","{Whirlpool Corporation|Whirlpool Corporation}","Whirlpool Corporation",,
"Company name","1.0","Company name-{DBPedia_4924+Forbes_1009}","DBPedia_4924+Forbes_1009","{EBay|eBay}","eBay",,
"Company name","1.0","Company name-{DBPedia_3254+SBTI_4826}","DBPedia_3254+SBTI_4826","{Shimizu Corporation|Shimizu Corporation}","Shimizu Corporation",,
"Company name","1.0","Company name-{DBPedia_1569+Forbes_1106}","DBPedia_1569+Forbes_1106","{AutoNation|AutoNation}","AutoNation",,
"Company name","1.0","Company name-{DBPedia_4343+Forbes_74}","DBPedia_4343+Forbes_74","{MetLife|MetLife}","MetLife",,
"Company name","1.0","Company name-{DBPedia_2811+SBTI_571}","DBPedia_2811+SBTI_571","{Bally's Corporation|Bally's Corporation}","Bally's Corporation",,
"Company name","1.0","Company name-{DBPedia_3892+Forbes_1558}","DBPedia_3892+Forbes_1558","{All Nippon Airways|All Nippon Airways}","All Nippon Airways",,
"Company name","1.0","Company name-{DBPedia_10453+Forbes_236}","DBPedia_10453+Forbes_236","{Northrop Grumman|Northrop Grumman}","Northrop Grumman",,
"Company name","0.0","Company name-{DBPedia_1180+SBTI_922}","DBPedia_1180+SBTI_922","{Capital & Counties Properties|Capital & Counties Properties PLC}","Capital & Counties Properties",,
"Company name","1.0","Company name-{DBPedia_5837+SBTI_94}","DBPedia_5837+SBTI_94","{Addleshaw Goddard|Addleshaw Goddard}","Addleshaw Goddard",,
"Company name","1.0","Company name-{DBPedia_4767+SBTI_820}","DBPedia_4767+SBTI_820","{Brixmor Property Group|Brixmor Property Group}","Brixmor Property Group",,
