"RecordIDS","AverageConsistency","Year Founded-Consistency","Year Founded-Values","Revenue-Consistency","Revenue-Values","Assets-Consistency","Assets-Values","Profit-Consistency","Profit-Values","Company name-Consistency","Company name-Values","Industry-Consistency","Industry-Values","Net Zero Committed Year-Consistency","Net Zero Committed Year-Values","Country-Consistency","Country-Values"
"Forbes_933+SBTI_5802","0.8571428571428571","1.0","{1945}","1.0","{18420000000}","1.0","{22.42}","1.0","{200000000}","1.0","{Vestas Wind Systems|Vestas Wind Systems}","0.0","{[, Capital Goods, ]|[]}",,,"1.0","{Denmark|Denmark}"
"DBPedia_5579+Forbes_324+SBTI_346","0.14285714285714285","0.0","{1967|1967}","0.0","{23060000000|24150000000}","0.0","{25.83|25.43}","0.0","{5890000000|6550000000}","1.0","{Applied Materials|Applied Materials|Applied Materials}","0.0","{[, Semiconductor, ]|[, Semiconductors, ]|[]}",,,"0.0","{United States|United States of America (USA)}"
"DBPedia_8993+Forbes_333+SBTI_3215","0.5238095238095238","0.0","{1947|1947}","0.0","{20400000000|37260000000}","1.0","{43.02}","0.0","{1900000000|3200000000}","1.0","{LG Chem|LG Chem|LG Chem}","0.6666666666666666","{[, Chemicals, ]|[, Chemicals, ]|[]}",,,"1.0","{South Korea|South Korea}"
"Forbes_1157+SBTI_6094","0.7142857142857143","1.0","{1987}","1.0","{9850000000}","1.0","{13.22}","1.0","{990000000}","0.0","{Yum China Holdings|Yum China Holdings, Inc.}","0.0","{[, Hotels, Restaurants & Leisure, ]|[]}",,,"1.0","{China|China}"
"Forbes_1367+SBTI_5231","0.7142857142857143","1.0","{2002}","1.0","{2600000000}","1.0","{90.81}","1.0","{730000000}","1.0","{Taishin Financial Holdings|Taishin Financial Holdings}","0.0","{[, Diversified Financials, ]|[]}",,,"0.0","{Taiwan|Taiwan, Province of China}"
"DBPedia_10013+DBPedia_4393+Forbes_176+Forbes_66+SBTI_1395","0.14285714285714285","0.0","{2016|1984}","0.0","{101224000000|106840000000}","0.0","{123.415|92.74}","0.0","{3505000000|5560000000}","1.0","{Dell Technologies|Dell Technologies|Dell Technologies}","0.0","{[, Cloud computing, , Computer hardware, , Consulting, , Data storage, , Information security, , Software, ]|[, Technology Hardware & Equipment, ]|[]}",,,"0.0","{United States|United States of America (USA)}"
"DBPedia_10100+DBPedia_10104+DBPedia_1148+DBPedia_1315+DBPedia_2327+DBPedia_4630+DBPedia_5777+DBPedia_7568+DBPedia_7608+DBPedia_8628+DBPedia_9217+DBPedia_9964+Forbes_284+Forbes_395+SBTI_4619+SBTI_4635+SBTI_4677","0.12779717150017902","0.0","{1924|1960|1980|2005|1979|1862|1999|1950|1947|1973|1972|1952|1957|1999|1929|1979|2008|1999|1986|1914|1972|1870|1999|1665|1909|1984|1918|1950}","0.0625","{31300000000|1822|74233|9295000000|23156080640|4210000000|86409000000|998|12260000000|84678000000|13|82700000000|26165243392|541000000|2650000000|8012530176|707463372|2200000000|452800000|41500508160|5124000000|26490000000|4274101248|26000000|33180000000|4280000000|26490000000|52200000000|15900000000|17890000000|14420000000|15540000000}","0.0","{80.0|1.548E-6|9.7425E-5|38.17370112|8.99|119.128|1.924661248|106.304|21.822958816|61.0|66.886677247|4.725193728|48.47364608|94.1|95.21|80.93|6.6|99.18|58.66|66.86|47.44|64.88|24.7}","0.09523809523809523","{37000000|138000000|12536|2|8721000000|4983000000|5058814208|166000000|-467068672|48300000|2650168320|1440000000|221787136|5640000000|510000000|1440000000|2980000000|3030000000|50000000|640000000|640000000}","0.07894736842105263","{SABIC|Saia|Sanrio|Samhall|Safran|SAMCO|Sandvik|Sanoma|Sasol|Sanyo|Sanonda|Saizeriya|SAP|SaskEnergy|Saltchuk|Saipem|Sanitec|SalfaCorp|Salmat|Saint-Gobain|Samruk-Kazyna|Salesforce|Sacyr|Sawyer's|SAP|Sartorius|Salesforce.com|Saint-Gobain|Sampo|Safran|Sanlam|Sasol|Safran|SAGEMCOM|SAINT-GOBAIN|Salcomp|Sama|Saur}","0.34210526315789475","{[, Chemical industry, ]|[, Transportation, ]|[, Wholesale, ]|[]|[, Aerospace industry, , Defense industry, ]|[]|[, Engineering, ]|[, Mass media, ]|[, Chemical industry, , Coal tar, , Nuclear power, , Oil and gas industry, ]|[, Electronics, ]|[]|[]|[, Business software, , Cloud computing, , Consulting, , Enterprise software, ]|[, Natural gas, ]|[]|[, List of oilfield service companies, ]|[]|[, Real estate, ]|[, Internet marketing, ]|[, Building material, ]|[, Conglomerate (company), ]|[, Cloud computing, , Consulting, , Enterprise software, ]|[, Construction, , Investment, ]|[]|[, IT Software & Services, ]|[, Health Care Equipment & Services, ]|[, IT Software & Services, ]|[, Construction, ]|[, Insurance, ]|[, Aerospace & Defense, ]|[, Diversified Financials, ]|[, Chemicals, ]|[]|[]|[]|[]|[]|[]}",,,"0.3157894736842105","{Saudi Arabia|U.S.|China|United States|United States|Germany|Germany|United States|France|Finland|France|South Africa|South Africa|France|France|France|China|United States of America (USA)|France}"
"DBPedia_898+Forbes_606+SBTI_5191","0.5238095238095238","0.0","{1816|1998}","0.0","{12080000000|12230000000}","1.0","{27.22}","1.0","{2000000000}","0.6666666666666666","{Swire|Swisscom|Swisscom}","0.0","{[, Conglomerate (company), ]|[, Telecommunications Services, ]|[]}",,,"1.0","{Switzerland|Switzerland}"
"DBPedia_10510+DBPedia_1110+DBPedia_1262+DBPedia_1839+DBPedia_2143+DBPedia_3289+DBPedia_3494+DBPedia_3936+DBPedia_4350+DBPedia_5539+DBPedia_6974+DBPedia_7045+DBPedia_8175+DBPedia_8303+DBPedia_9310+DBPedia_955+DBPedia_9825+Forbes_1865+Forbes_302+Forbes_305+Forbes_505+Forbes_51+Forbes_635+SBTI_2636+SBTI_2722+SBTI_2727","0.15238095238095237","0.0","{1996|1994|1984|1888|2005|1990|1964|1996|1988|1968|1985|1985|1983|1968}","0.0","{61900000|791000000|2982900000|2786|30500000|657843200|526100000|317000000|542300000|59100000|10807424000|19171430400|32570000000|11410000000|79020000000}","0.0","{26.3|168.41}","0.0","{0|2170000000|19870000000}","0.3333333333333333","{Interwetten|Intu|Intersport|Intuit|Intel|Intuit}","0.3333333333333333","{[, Gambling, ]|[, Property, ]|[]|[, IT Software & Services, ]|[, Semiconductors, ]|[]}",,,"0.4","{Spain|United States|United States|Spain|United States of America (USA)}"
"Forbes_887+SBTI_1008","0.8571428571428571","1.0","{1992}","1.0","{10900000000}","1.0","{54.13}","1.0","{450000000}","1.0","{CEZ Group|CEZ Group}","0.0","{[, Utilities, ]|[]}",,,"1.0","{Czech Republic|Czech Republic}"
"Forbes_1789+SBTI_4951","0.7142857142857143","1.0","{2009}","1.0","{2130000000}","1.0","{3.59}","1.0","{820000000}","0.0","{Smoore International Holdings|Smoore International Holdings Limited}","0.0","{[, Food, Drink & Tobacco, ]|[]}",,,"1.0","{China|China}"
"Forbes_178+SBTI_5506","0.7142857142857143","1.0","{1879}","1.0","{50570000000}","1.0","{234.9}","1.0","{3850000000}","0.0","{Tokio Marine Holdings|Tokio Marine Holdings, Inc.}","0.0","{[, Insurance, ]|[]}",,,"1.0","{Japan|Japan}"
"Forbes_404+SBTI_905","0.7142857142857143","1.0","{1832}","1.0","{11550000000}","1.0","{38.84}","1.0","{3900000000}","0.0","{Canadian National Railway|Canadian National Railway Company}","0.0","{[, Transportation, ]|[]}",,,"1.0","{Canada|Canada}"
"Forbes_1044+SBTI_5288","0.7142857142857143","1.0","{1980}","1.0","{42140000000}","1.0","{28.72}","1.0","{440000000}","1.0","{TD SYNNEX|TD SYNNEX}","0.0","{[, Trading Companies, ]|[]}",,,"0.0","{United States|United States of America (USA)}"
"DBPedia_1075+DBPedia_9034+Forbes_1603+SBTI_6012","0.42857142857142855","0.0","{2001|1986|2005}","0.0","{230000000|657843200|5150000000}","1.0","{10.5}","1.0","{30000000}","0.5","{Workfront|Wortmann|Workday|Workday}","0.5","{[, SaaS, ]|[]|[, IT Software & Services, ]|[]}",,,"0.0","{United States|United States of America (USA)}"
"DBPedia_10025+DBPedia_3424+DBPedia_4341+DBPedia_4345+DBPedia_4396+DBPedia_5390+DBPedia_672+DBPedia_7291+DBPedia_7902+DBPedia_8460+Forbes_1100+Forbes_1920+Forbes_216+Forbes_343+Forbes_355+Forbes_492+Forbes_593+SBTI_4142+SBTI_4166","0.2582417582417582",,,"0.0","{106949000|4610000000|2356000000|23520000000|8172000000|25370000000|4500000000|17120000000|25560000000|65970000000|28590000000|15290000000}",,,,,"0.23076923076923078","{Paperchase|Paychex|Patterson-UTI|Paccar|Panalpina|PayPal|Paychex|Parkland|PayPal|Panasonic|Paramount|Parker-Hannifin|PayPal}","0.23076923076923078","{[, Retail, ]|[]|[, Petroleum industry, ]|[]|[, Transport, ]|[, Financial technology, ]|[, Business Services & Supplies, ]|[, Trading Companies, ]|[, Business Services & Supplies, ]|[, Consumer Durables, ]|[, Media, ]|[, Capital Goods, ]|[]}",,,"0.5714285714285714","{United States|Canada|United States|Japan|United States|United States|United States of America (USA)}"
"DBPedia_1593+DBPedia_1739+Forbes_64+SBTI_735","0.23809523809523808","0.0","{1894|1979|1916}","0.0","{2200000000|895|131480000000}","0.0","{0.523|277.28}","0.0","{499000000|14640000000}","0.5","{BMV Group|BMD Group|BMW Group|BMW Group}","0.5","{[, Finance and Insurance, ]|[]|[, Consumer Durables, ]|[]}",,,"0.6666666666666666","{Australia|Germany|Germany}"
"Forbes_724+SBTI_3278","0.7142857142857143","1.0","{2000}","1.0","{11760000000}","1.0","{16.05}","1.0","{1500000000}","0.0","{Longi Green Energy Technology|LONGi Green Energy Technology Co., Ltd.}","0.0","{[, Semiconductors, ]|[]}",,,"1.0","{China|China}"
"DBPedia_2483+DBPedia_7551+Forbes_1325+Forbes_1995+Forbes_959+SBTI_351","0.3142857142857142","0.0","{2012|1994|1954|2010|1994}","0.4","{2790000000|15620000000|7980000000|6030000000|15620000000}","0.4","{6.16|18.01|13.3|6.72|18.01}","0.4","{35000000|590000000|970000000|1140000000|590000000}","0.5","{AppLovin|Aptiv|APA|Aperam|Aptiv|Aptiv}","0.0","{[, Mobile technology, ]|[, Automotive industry, ]|[, Oil & Gas Operations, ]|[, Materials, ]|[, Consumer Durables, ]|[]}",,,"0.5","{United States|Luxembourg|Ireland|Ireland}"
