UID,company,label,industries,keyPeople,founders,hqLocationCountry,revenue,assets,netIncome,foundingYear,type,keyPeopleFoundersCombined
DBPedia_635,http://dbpedia.org/resource/Actavis,Actavis,,"Brenton L. Saunders, Paul Bisaro",Allen Chao,,13062000000,6881000000.0,,,,"Allen Chao, Brenton L. Saunders, Paul Bisaro"
DBPedia_636,http://dbpedia.org/resource/Air_New_Zealand,Air New Zealand,Air Transport,"Greg Foran, CEO",,,-72000000,719000000.0,,,,"Greg Foran, CEO"
DBPedia_637,http://dbpedia.org/resource/Amor_Group,Amor Group,,,,,33890000,,,,,
DBPedia_638,http://dbpedia.org/resource/AirG_Inc.,AirG Inc.,"Mobile game, Mobile social network",,Frederick Ghahramani,,1000000000,,,,,
DBPedia_639,http://dbpedia.org/resource/Air_Macau,Air Macau,Air Transport,"Zhao Xiaohang, Chairman , Chen Hong, CEO",,,78760000,,,,,"Zhao Xiaohang, Chairman , Chen Hong, CEO"
DBPedia_640,http://dbpedia.org/resource/Air_Seychelles,Air Seychelles,Air Transport,Remco Althuis,,,106900000,,,,,Remco Althuis
DBPedia_641,http://dbpedia.org/resource/Transavia,Transavia,Air Transport,,,,1638969344,,,,,
DBPedia_642,http://dbpedia.org/resource/ExxonMobil,ExxonMobil,Energy industry,Darren Woods,"Mobil, Standard Oil",U.S.,276692000000,338923000000.0,23040000000.0,1882.0,Public company,"Darren Woods, Mobil, Standard Oil"
DBPedia_643,http://dbpedia.org/resource/Nordstrom,Nordstrom,Retail,"Anne Bramman, Edmond Mesrobian, Erik Nordstrom, Peter Nordstrom, Rory McLeod, Scott Meden, Brad D. Smith",John W. Nordstrom,Canada,14,8869000000.0,178000000.0,2014.0,Public company,"Anne Bramman, Brad D. Smith, Edmond Mesrobian, Erik Nordstrom, John W. Nordstrom, Peter Nordstrom, Rory McLeod, Scott Meden"
DBPedia_644,http://dbpedia.org/resource/JPMorgan_Chase,JPMorgan Chase,Financial services,"Daniel E. Pinto, Jamie Dimon","Aaron Burr, Balthazar P. Melick, J. P. Morgan, John Thompson (American banker)",U.S.,121650000000,3770000000000.0,48330000000.0,2000.0,Public company,"Aaron Burr, Balthazar P. Melick, Daniel E. Pinto, J. P. Morgan, Jamie Dimon, John Thompson (American banker)"
DBPedia_645,http://dbpedia.org/resource/Everbright_Environment,Everbright Environment,,,China Everbright Group,China,8500000000,40600000000.0,2100000000.0,1993.0,Public company,
DBPedia_646,http://dbpedia.org/resource/Hatton_National_Bank,Hatton National Bank,Financial services,"Aruni Goonetilleke, Jonathan Alles",,Sri Lanka,135710,1453.0,20084.0,1888.0,Public company,"Aruni Goonetilleke, Jonathan Alles"
